"id","bumd_id","no_akun","nama_akun","tahun_2020","tahun_2021","tahun_2022","tahun_2023","tahun_2024","created_at","updated_at"
70,1,10,Dividen Bagian Pemprov DKI Jakarta,0,0,0,0,62367974,,
71,7,1,Aset,4042618820,4424075338,3892782754,3743420005,3591729154,,
72,7,2,Liabilitas,2280833275,2931256393,2331854506,2075179890,1857852488,,
73,7,3,Ekuitas,1761785545,1492818945,1560928248,1668240115,1733876667,,
74,7,4,Pendapatan Usaha,414179668,389341662,957879486,1273833790,1265896944,,
75,7,5,Beban Pokok Pendapatan,364170151,289447872,413859960,576883251,599124337,,
76,7,6,Laba Kotor,50009516,99893790,544019525,696950539,666772608,,
77,7,7,Beban Usaha,326190140,222790472,252107498,249738304,294410281,,
78,7,8,Laba Usaha,276180623,122896682,291912027,447212234,372362327,,
79,7,9,Laba Tahun Berjalan,393866134,275036407,154215919,241306032,176285993,,
80,7,10,Dividen Bagian Pemprov DKI Jakarta,0,0,0,334080000,36864000,,
81,12,1,Aset,7067153966,7313268674,7649302595,7261267734,7658685072,,
82,12,2,Liabilitas,2217345898,2271442588,2321261038,2545974914,2801311388,,
83,12,3,Ekuitas,4849808068,5041826086,5328041557,4715292820,4857373684,,
84,12,4,Pendapatan Usaha,3071812555,3063827837,3686360730,3903443768,4473951526,,
85,12,5,Beban Pokok Pendapatan,2399481359,2407220266,3039113564,3483472048,3962728495,,
86,12,6,Laba Kotor,672331197,656607571,647247166,419971719,511223032,,
87,12,7,Beban Usaha,329112347,231966293,265952799,224516949,242034369,,
88,12,8,Laba Usaha,343218850,424641278,381294366,195454770,269188663,,
89,12,9,Laba Tahun Berjalan,378488314,270384932,355182013,146363953,200563485,,
90,12,10,Dividen Bagian Pemprov DKI Jakarta,154383667,56580218,60654100,88529117,55452327,,
91,22,1,Aset,320535958,1007980153,1488828175,1457070043,1580107000,,
92,22,2,Liabilitas,206095124,968237197,1508482308,1215327727,1257808000,,
93,22,3,Ekuitas,114440834,39742956,19654133,241742315,322299000,,
94,22,4,Pendapatan Usaha,11153313,7460135,0,539041194,317941000,,
95,22,5,Beban Pokok Pendapatan,6658444,5986526,0,218869932,111668000,,
96,22,6,Laba Kotor,4494868,1473609,0,320171262,206273000,,
97,22,7,Beban Usaha,13735449,40101583,67169061,98693429,131896000,,
98,22,8,Laba Usaha,9240580,38627974,67169061,221477834,74377000,,
99,22,9,Laba Tahun Berjalan,29255872,76143368,59113540,261225645,83487000,,
100,22,10,Dividen Bagian Pemprov DKI Jakarta,0,0,0,0,111171,,
101,16,1,Aset,1225580913,1308722065,1307186367,1208050010,1118177188,,
102,16,2,Liabilitas,205681950,298548048,306410502,273635750,268273068,,
103,16,3,Ekuitas,1019898963,1010174017,1000775865,934414260,849904120,,
104,16,4,Pendapatan Usaha,546336411,681205785,778744315,736838613,646763576,,
105,16,5,Beban Pokok Pendapatan,179156903,204614850,235763528,224064759,197801959,,
106,16,6,Laba Kotor,367179508,476590935,542980787,512773854,448961617,,
107,16,7,Beban Usaha,238220245,250966445,273208755,292199846,295168480,,
108,16,8,Laba Usaha,128959263,225624490,269772032,220574008,153793137,,
109,16,9,Laba Tahun Berjalan,123465762,187992998,230065807,199611841,142367399,,
110,16,10,Dividen Bagian Pemprov DKI Jakarta,81978273,52550175,63060210,68315228,59066397,,
111,14,1,Aset,800268396,842757599,894602520,1018178364,6526418412,,
112,14,2,Liabilitas,568896645,545748631,569996170,642341416,721741851,,
113,14,3,Ekuitas,231371751,297008967,324606350,375836948,5804676561,,
114,14,4,Pendapatan Usaha,181888039,213935296,202939043,255953912,199267926,,
115,14,5,Beban Pokok Pendapatan,81223052,64950541,67317336,80977920,79262420,,
116,14,6,Laba Kotor,100664987,148984755,135621707,174975992,120005506,,
117,14,7,Beban Usaha,63537198,72595652,73732070,83227125,87573746,,
118,14,8,Laba Usaha,37127789,76389104,61889637,91748866,32431760,,
119,14,9,Laba Tahun Berjalan,30382635,68182393,38264337,60847524,5219315016,,
120,14,10,Dividen Bagian Pemprov DKI Jakarta,27072841,3797829,8522799,4783042,9127129,,
121,17,1,Aset,2006136780,4125041029,4500591726,4839598217,5212073578,,
122,17,2,Liabilitas,1061283555,1108762297,1188240440,1181605842,1298406985,,
123,17,3,Ekuitas,944853225,3016278731,3312351286,3657992374,3913666594,,
124,17,4,Pendapatan Usaha,609761568,706275547,731947452,785618264,1028943508,,
125,17,5,Beban Pokok Pendapatan,316856400,327394089,330304849,350342748,384208505,,
126,17,6,Laba Kotor,292905168,378881458,401642604,435275516,644735002,,
127,17,7,Beban Usaha,205578420,262856426,233697185,287596701,280708250,,
128,17,8,Laba Usaha,87326749,116025032,167945418,147678815,364026752,,
129,17,9,Laba Tahun Berjalan,22519549,54795186,187180695,332343666,335732358,,
130,17,10,Dividen Bagian Pemprov DKI Jakarta,6215979,1495661,2923784,10050868,0,,
131,11,1,Aset,18397154976,19868877973,22880678794,25514607675,29096504000,,
132,11,2,Liabilitas,1037248526,785852186,1030933032,1624422037,1811179000,,
133,11,3,Ekuitas,17359906450,19083025787,21849745762,23890185638,27285325000,,
134,11,4,Pendapatan Usaha,1085498000,1355917278,1466986658,1353055614,1385873000,,
135,11,5,Beban Pokok Pendapatan,976692303,989996273,1045193271,1119478343,1164641000,,
136,11,6,Laba Kotor,108805697,365921005,421793386,233577271,221232000,,
137,11,7,Beban Usaha,189753827,218351037,279201802,272407151,256398000,,
138,11,8,Laba Usaha,80948130,147569968,142591584,38829880,35166000,,
139,11,9,Laba Tahun Berjalan,69094358,105336462,104968789,18920975,9085000,,
140,11,10,Dividen Bagian Pemprov DKI Jakarta,0,0,0,0,0,,
141,19,1,Aset,3457568800,3671930921,4235338398,4895483336,7578857635,,
142,19,2,Liabilitas,2549216725,2718975184,3216168872,3795961710,29116855410,,
143,19,3,Ekuitas,908352075,952955737,1019169526,1099521626,21537997775,,
144,19,4,Pendapatan Usaha,2725022757,3754503447,5051913229,5358727012,3162293961,,
145,19,5,Beban Pokok Pendapatan,2263085902,3249191166,4433506841,4606980382,7074422071,,
146,19,6,Laba Kotor,461936855,505312280,618406388,751746630,3912128110,,
147,19,7,Beban Usaha,370414522,413535329,493521560,598862055,407356674,,
148,19,8,Laba Usaha,91522333,91776951,124884828,152884576,4319484785,,
149,19,9,Laba Tahun Berjalan,71622689,72556477,95786370,116148102,5650967467,,
150,19,10,Dividen Bagian Pemprov DKI Jakarta,1968302,1958888,2095750,2302711,0,,
151,6,1,Aset,696778400,731632790,857845532,819718478,733042763,,
152,6,2,Liabilitas,133367086,179912404,204694944,201989949,105582165,,
153,6,3,Ekuitas,563411326,551720386,653150588,617728529,627460598,,
